nama_provinsi,bps_nama_kabupaten_kota,lokasi,jumlah_jukir,satuan,tahun,Latittude,Longitude
JAWA BARAT,KOTA BANDUNG,JL. JEND. SUDIRMAN,22,ORANG,2021,-6.91694,107.58722
JAWA BARAT,KOTA BANDUNG,JL. CIKAWAO,7,ORANG,2021,-6.92689,107.61306
JAWA BARAT,KOTA BANDUNG,JL. BENGAWAN,4,ORANG,2021,-6.90694,107.62000
JAWA BARAT,KOTA BANDUNG,JL. MOH. RAMDHAN,4,ORANG,2021,-6.93222,107.61056
JAWA BARAT,KOTA BANDUNG,JL. PASIRKOJA,8,ORANG,2021,-6.92878,107.59461
JAWA BARAT,KOTA BANDUNG,JL. GATOT SUBROTO,9,ORANG,2021,-6.92083,107.62472
JAWA BARAT,KOTA BANDUNG,JL. MALABAR,2,ORANG,2021,-6.92694,107.61417
JAWA BARAT,KOTA BANDUNG,JL. TAMANSARI,23,ORANG,2021,-6.90278,107.60889
JAWA BARAT,KOTA BANDUNG,JL. ANGGREK,2,ORANG,2021,-6.90778,107.62250
JAWA BARAT,KOTA BANDUNG,JL. JURANG,6,ORANG,2021,-6.89278,107.60278
JAWA BARAT,KOTA BANDUNG,JL. MAULANA YUSUF,3,ORANG,2021,-6.90611,107.61194
JAWA BARAT,KOTA BANDUNG,JL. CITARUM,11,ORANG,2021,-6.90778,107.61861
JAWA BARAT,KOTA BANDUNG,JL. LODAYA,4,ORANG,2021,-6.92722,107.61917
JAWA BARAT,KOTA BANDUNG,JL. PALASARI,5,ORANG,2021,-6.92444,107.61639
JAWA BARAT,KOTA BANDUNG,JL. SUKAMAJU,4,ORANG,2021,-6.88333,107.60861
JAWA BARAT,KOTA BANDUNG,JL. ARJUNA,4,ORANG,2021,-6.90444,107.59250
JAWA BARAT,KOTA BANDUNG,JL. GANDAPURA,1,ORANG,2021,-6.91028,107.61889
JAWA BARAT,KOTA BANDUNG,JL. DR. SUTOMO,1,ORANG,2021,-6.89972,107.60889
JAWA BARAT,KOTA BANDUNG,JL. KESATRIAAN,3,ORANG,2021,-6.90750,107.59694
JAWA BARAT,KOTA BANDUNG,JL. BIMA,5,ORANG,2021,-6.90389,107.59167
JAWA BARAT,KOTA BANDUNG,JL. ASTINA,4,ORANG,2021,-6.90389,107.59278
JAWA BARAT,KOTA BANDUNG,JL. RAMA,6,ORANG,2021,-6.90222,107.59250
JAWA BARAT,KOTA BANDUNG,JL. PANDU,1,ORANG,2021,-6.90444,107.59861
JAWA BARAT,KOTA BANDUNG,JL. SUPADIO,4,ORANG,2021,-6.90556,107.59750
JAWA BARAT,KOTA BANDUNG,JL. CIHAPIT,17,ORANG,2021,-6.91000,107.62111
JAWA BARAT,KOTA BANDUNG,JL. HASANUDIN,10,ORANG,2021,-6.89944,107.61222
JAWA BARAT,KOTA BANDUNG,JL. SURYA KENCANA,2,ORANG,2021,-6.93611,107.58861
JAWA BARAT,KOTA BANDUNG,JL. BARANANG SIANG,5,ORANG,2021,-6.90806,107.62000
JAWA BARAT,KOTA BANDUNG,JL. PROGO,10,ORANG,2021,-6.90694,107.62194
JAWA BARAT,KOTA BANDUNG,JL. TRUNOJOYO,1,ORANG,2021,-6.90333,107.61500
JAWA BARAT,KOTA BANDUNG,JL. CISANGGARUNG,1,ORANG,2021,-6.90500,107.61806
JAWA BARAT,KOTA BANDUNG,JL. TAMAN PRAMUKA,1,ORANG,2021,-6.90778,107.62000
JAWA BARAT,KOTA BANDUNG,JL. KEMUNING,3,ORANG,2021,-6.90972,107.61861
JAWA BARAT,KOTA BANDUNG,JL. GANESHA,6,ORANG,2021,-6.89194,107.61083
JAWA BARAT,KOTA BANDUNG,JL. GELAP NYAWANG,6,ORANG,2021,-6.89389,107.60806
JAWA BARAT,KOTA BANDUNG,JL. BADAK SINGA,1,ORANG,2021,-6.89667,107.60750
JAWA BARAT,KOTA BANDUNG,JL. BAPA HUSEN,2,ORANG,2021,-6.88389,107.60333
JAWA BARAT,KOTA BANDUNG,JL. GAJAH LUMANTUNG,2,ORANG,2021,-6.89694,107.60583
